mot,"Venir, arriver en hâte (quelque part)",accourir
mot,"Aux environs, dans un espace situé tout autour (d'un endroit mentionné)",alentour
mot,"Gagner un lieu, y arriver en se déplaçant",atteindre
mot,"Héler, interpeller quelqu'un, attirer son attention par une parole, un cri, un signal sonore",appeler
mot,"Désir de manger, sensation de faim",appétit
mot,Voiture à quatre roues utilisée pour le déplacement et parfois le levage de charges sur de faibles distances,chariot
mot,"Action de cueillir des fruits, des légumes, des fleurs, etc.",cueillette
mot,en premier lieu,d'abord
mot,Intervalle qui sépare deux points dans l'espace ; longueur de l'espace à parcourir pour aller d'un point à un autre ,distance
mot,"Faire jaillir un liquide, une matière semi-liquide sur quelqu'un, quelque chose ",éclabousser
mot,"Faire usage de quelque chose, l'utiliser, s'en servir, y avoir recours",employer
mot,"Action de s'empresser auprès de quelqu'un, de le traiter chaleureusement",empressement
mot,Action de mettre en terre un mort ; ensevelissement,enterrement
mot,"Insecte hyménoptère social à l'abdomen annelé de jaune et de noir, dont la femelle est pourvue d'un aiguillon venimeux.",guêpe
mot,"Qui marque, indique la paresse, l'indolence",paresseux
mot,"Oiseau percheur très redressé, au bec épais et fortement crochu, aux pattes préhensiles et agiles dont deux doigts sont tournés vers l'arrière",perroquet
mot,File de personnes qui attendent leur tour ; attente dans cette file,queue
mot,Qui existe ou a existé effectivement,réel
mot,"Faire des ronrons, en parlant du chat.",ronronner
mot,État physiologique périodique de l'organisme pendant lequel la vigilance est suspendue et la réactivité aux stimulations amoindrie,sommeil
mot,"Soutenir quelque chose, lui servir d'appui, d'assise",supporter
mot,"Édifice destiné à la représentation de pièces, de spectacles dramatiques ; le spectacle lui-même.",théâtre
mot,"Dire, communiquer quelque chose, faire part de ou que (à quelqu'un), par le téléphone",téléphoner
mot,"Obscurité profonde, sinistre, qui peut provoquer la peur, l'angoisse",ténèbres
mot,"Cours d'eau de montagne, rapide et irrégulier, de faible longueur, plus ou moins à sec entre des crues violentes et brusques.",torrent
mot,"Expiration brusque et sonore de l'air contenu dans les poumons, provoquée par l'irritation des voies respiratoires.",toux
mot,"de façon oblique, irrégulière",travers
mot,"Exécuter un tissu à mailles entrelacées, avec des aiguilles spéciales ",tricoter
mot,Qui s'applique à tous les cas,universel
mot,"Action de laver et d'essuyer les assiettes, les plats, etc., qui ont servi au repas",vaisselle
mot,Qui remporte ou a remporté une victoire,vainqueur
mot,Personne qui habite un village.,villageois
mot,Promesse faite à la divinité pour obtenir sa faveur ou en remerciement d'une prière exaucée,vœu
